Number,File_name,NOA,NOAC,Edges,Diameter,CW,DeltaSJX,CNC,dC_avg,dC_max,Separability,Sequentiality,Depth,CH,CFC,CYC,TS,FI,FO,F_in,F_out,F_(I+O),PL,PV,PD, DFC,IC,OC,Ma,Mb,Ms,Me,output redundancy,output lost,input missing,nonportable,partially_portable
17,EntityComponentInternalCdcSubscribeOrch,19,25,21,21,36,0.05,1,0,0,0.474,0.905,4,0,39,0,0,1,8,23,20,43,79.814,215.224,3.583,0.944,1,0.944,1,0.923076923,1,0.931623932,1,0,0,1,0
18,EntityComponentInternalDocQueryOrch,12,14,11,12,20,0.083,0.917,0,0,1,1,2,0,12,0,0,1,4,15,10,25,35.219,100.379,2.5,1,1,1,0.931623932,0.886597938,0.907407407,0.954180985,0,0,0,1,0
19,EntityComponentInternalDocRetrieveOrch,7,10,6,7,13,0.143,0.857,0,0,1,1,2,0,7,0,0,1,2,10,9,19,30.529,76.107,2.111,1,1,1,0.82962963,0.807692308,0.833333333,0.916666667,0,0,0,1,0
20,EntityComponentInternalSubscribeOrch,25,33,30,28,47,0.037,1.034,3,3,0.222,0.733,6,0,92,0,0,1,10,30,24,54,106.107,291.427,4.909,0.955,1,0.955,0.631944444,0.257425743,1,0.36376971,1,0,0,1,0
21,EntityComponentInternalUnsubscribeOrch,16,24,20,20,33,0.053,1,2,2,0.444,0.7,6,0,28,0,0,1,5,15,13,28,46.054,140.648,5.091,1,1,1,0.956228956,0.889423077,0.87037037,0.916132479,1,0,0,1,0
22,GetAvailableTaxis,11,16,17,13,21,0.081,1.133,4,4,0.538,0.412,3,0,20,0,0,1,1,15,14,29,41.219,129.45,5.8,1,1,1,1,0.952380952,1,0.957671958,0,0,0,1,0
23,GetGoogleDirectionsDistance,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,0.972222222,0.93442623,0.904761905,0.974499089,0,0,0,1,0
24,GetGoogleGeocoding,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,0.974603175,0.945054945,0.925925926,0.98046398,0,0,0,1,0
25,GetRouteDistanceForActiveEntities,8,12,10,10,17,0.111,1,0,0,0.625,0.8,3,0,11,0,0,1,2,20,14,34,52.861,152,3.923,1,1,1,1,0.928571429,1,0.936507937,0,0,0,1,0
26,GetRouteDurationForActiveEntities,8,12,10,10,17,0.111,1,0,0,0.625,0.8,3,0,11,0,0,1,2,20,14,34,52.861,152,3.923,1,1,1,0.984126984,0.458333333,1,0.546296296,0,0,0,1,0
27,GetTaxiDriverInformation,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,5,4,9,8,23.219,1.125,1,1,1,0.984126984,0.4375,1,0.527777778,0,0,0,1,0
28,InventoryService,4,8,6,5,10,0.2,1,3,3,0.5,0,3,0,6,0,0,1,0,2,3,5,4,18,2.5,1,1,1,0.992592593,0.893617021,1,0.921985816,0,0,0,1,0
